,mass_excess,binding_energy,beta_ener,atomic_mass,radius_val,1N-Z,n,z,A,EL,O,mass_unc,bind_ener_unc,beta_mode,beta_unc,atom_mass_unc,symbol,a,radius_unc,radius_preliminary_val,radius_preliminary_unc,parity_encoder,isospin_asymmetry,a^1/3
78,0.5268163453319279,0.6086789646577767,0.1826924066831777,0.4307688545969506,-1.6287812548626353,3,20,17,37,Cl,,0.052,0.0014,B-,0.2,0.055,Cl,37,0.017,,,Even-Odd,0.08108108108108103,3.332221851645953
79,0.550304522347316,0.5465422772642586,-0.8721757250095425,0.43396333171530654,-1.620462647333025,1,19,18,37,Ar,-,0.207,0.0056,B-,0.227,0.221,Ar,37,0.0022,,,Even-Odd,0.027027027027026973,3.332221851645953
80,0.7277192436394632,0.2767816843869569,-1.9632469290294952,0.45809239253406714,,-1,18,19,37,K,-p,0.094,0.0025,B-,0.6412,0.1,K,37,,3.4194,0.0292,Even-Odd,-0.027027027027026973,3.332221851645953
81,0.44158554645406844,0.6720515875060249,-0.8260123493881755,0.4191771497827391,-1.6057827516925367,2,20,18,38,Ar,,0.195,0.0051,B-,0.0448,0.209,Ar,38,0.0019,,,Even-Even,0.052631578947368474,3.361975406798963
82,0.6122640830032168,0.41823702493565257,-0.9898097171368251,0.4423900645092531,-1.5769122902662427,0,19,19,38,K,,0.195,0.0051,B-,0.0626,0.209,K,38,0.0051,3.4236,0.0259,Odd-Odd,0.0,3.361975406798963
83,0.48408534813630255,0.5976133022506256,0.4554027384285649,0.4249572789340406,-1.5978311415539388,3,21,18,39,Ar,+,5.0,0.1282,B-,5.0,5.367,Ar,39,0.0031,,,Even-Odd,0.07692307692307687,3.3912114430141664
84,0.46777957532585634,0.5895864192658989,-0.9467401585369254,0.4227396356170141,-1.5665140308542305,1,20,19,39,K,,0.00456,0.0003,B-,0.5962,0.00489,K,39,0.0019,3.4361,0.0223,Even-Odd,0.02564102564102566,3.3912114430141664
85,0.6560747237085122,0.31973638274364025,-2.2492036408074525,0.448348474651029,-1.5364202447912292,-1,19,20,39,Ca,,0.596,0.0153,B-,24.0074,0.64,Ca,39,0.0025,,,Even-Odd,-0.02564102564102555,3.3912114430141664
86,0.4322040195299931,0.6446548982332153,0.046120921434458596,0.41790122810346997,-1.5756889656295354,4,22,18,40,Ar,,0.00218,0.0002,B-,0.0559,0.00234,Ar,40,0.0026,,,Even-Even,0.09999999999999998,3.4199518933533937
87,0.47562072368633623,0.5623138852619365,0.6029261448800052,0.42380606093574946,-1.5625993920167667,2,21,19,40,K,,0.056,0.0014,B-,0.0596,0.06,K,40,0.0028,3.4324,0.0188,Odd-Odd,0.050000000000000044,3.4199518933533937
88,0.43778832392573813,0.5813460813990019,-2.4891216362579485,0.41866071185019954,-1.5142780688668258,0,20,20,40,Ca,,0.02,0.0006,B-,2.8281,0.022,Ca,40,0.0019,,,Even-Even,0.0,3.4199518933533937
89,0.4891267147892484,0.5569596532850039,0.8365281485503864,0.4256429269588681,-1.5785026122939623,5,23,18,41,Ar,-n,0.347,0.0085,B-,0.3473,0.372,Ar,41,0.003,,,Even-Odd,0.12195121951219512,3.4482172403827303
90,0.4172070805666914,0.6170205567636534,0.26026721481397513,0.4158615888238593,-1.5458398444938757,3,22,19,41,K,,0.00376,0.0003,B-,0.1377,0.00403,K,41,0.0055,3.4489,0.0157,Even-Odd,0.07317073170731703,3.4482172403827303
91,0.42937553159935826,0.5747248031343177,-0.9410163527917327,0.4175165392452198,-1.5137887390121425,1,21,20,41,Ca,,0.138,0.0034,B-,0.1553,0.147,Ca,41,0.0019,,,Even-Odd,0.024390243902439046,3.4482172403827303
92,0.4500168956042043,0.587553124683174,0.4621969369463178,0.4203238451284481,-1.5585624207156326,6,24,18,42,Ar,x,5.775,0.1375,B-,5.7763,6.2,Ar,42,0.0041,,,Even-Even,0.1428571428571429,3.4760266448864496
93,0.4327197136621766,0.5812776663726665,1.0408767119176823,0.41797136380563626,-1.5459621769575462,4,23,19,42,K,-n,0.106,0.0025,B-,0.1825,0.113,K,42,0.007,3.4469,0.0129,Odd-Odd,0.09523809523809523,3.4760266448864496
94,0.330981508952571,0.6753411260039287,-0.9273187033463371,0.40413458792533224,-1.4769666674472508,2,22,20,42,Ca,,0.148,0.0035,B-,0.0485,0.159,Ca,42,0.0021,,,Even-Even,0.04761904761904767,3.4760266448864496
95,0.5164426768156382,0.42813343853479924,-1.0440785970834188,0.42935799539160174,-1.4009982075077236,0,21,21,42,Sc,,0.154,0.0037,B-,0.2239,0.165,Sc,42,0.0238,,,Odd-Odd,0.0,3.4760266448864496
96,0.5196516509168739,0.49051051472612184,1.2466290223965473,0.42979442953771835,-1.5659023685358766,7,25,18,43,Ar,x,5.31,0.1235,B-,5.3254,5.7,Ar,43,0.0039,,,Even-Odd,0.16279069767441856,3.503398060386724
97,0.3878900349369281,0.6172327153611145,0.706279478412957,0.4118743601380428,-1.5411912108743877,5,24,19,43,K,-4n,0.41,0.0095,B-,0.4687,0.44,K,43,0.0086,3.4497,0.01,Even-Odd,0.11627906976744184,3.503398060386724
98,0.3349762765176211,0.6524411043568703,-0.09555113242324138,0.4046778948747088,-1.4925028903334345,3,23,20,43,Ca,,0.227,0.0053,B-,1.865,0.244,Ca,43,0.0019,,,Even-Odd,0.06976744186046513,3.503398060386724
99,0.3990658026797417,0.5518511392763518,-1.0155807072080294,0.4133943077711181,-1.416534430393907,1,22,21,43,Sc,-p,1.863,0.0433,B-,6.0147,1.999,Sc,43,0.0147,,,Even-Odd,0.023255813953488413,3.503398060386724
100,0.5005046739896603,0.49858046316953125,0.9583984404488953,0.4271903688097435,-1.553669122168803,8,26,18,44,Ar,x,1.584,0.036,B-,1.6381,1.7,Ar,44,0.0046,,,Even-Even,0.18181818181818177,3.530348335326063
101,0.41080168058656696,0.5747173134893313,1.4684660604546955,0.41499043120577095,-1.5403348836286923,6,25,19,44,K,x,0.419,0.0095,B-,0.5303,0.45,K,44,0.0101,3.4472,0.0074,Odd-Odd,0.13636363636363635,3.530348335326063
102,0.24666954701833266,0.7352760018024826,-0.37876330262481606,0.39266785018085554,-1.4649780860075188,4,24,20,44,Ca,,0.325,0.0074,B-,1.7565,0.348,Ca,44,0.0021,,,Even-Even,0.09090909090909094,3.530348335326063
103,0.3520854371427414,0.5900972994730899,0.29076291672415,0.4070048014563622,-1.4340279726988223,2,23,21,44,Sc,-p,1.756,0.0399,B-,1.8899,1.884,Sc,44,0.0016,,,Odd-Odd,0.045454545454545414,3.530348335326063
104,0.35980395029477924,0.5557327918232469,-2.3739077709207677,0.40805454677901204,-1.3504749000117093,0,22,22,44,Ti,-a,0.7,0.0159,B-,7.2986,0.751,Ti,44,0.0051,,,Even-Even,0.0,3.530348335326063
105,0.3867284585771124,0.5862000915096828,1.1736496783678216,0.41171637807007194,-1.5351969201545215,7,26,19,45,K,x,0.522,0.0116,B-,0.6369,0.56,K,45,0.0118,3.4531,0.0048,Even-Odd,0.15555555555555556,3.5568933044900626
106,0.26561597749409765,0.6954797731564036,0.39509853305753007,0.39524463240364377,-1.4937262149701418,5,25,20,45,Ca,,0.365,0.0081,B-,0.7377,0.392,Ca,45,0.0021,,,Even-Odd,0.11111111111111116,3.5568933044900626
107,0.25810981443412473,0.6787638937636474,-0.0641702170152699,0.3942237669781219,-1.4307249961797124,3,24,21,45,Sc,,0.663,0.0147,B-,0.5086,0.712,Sc,45,0.0025,,,Even-Odd,0.06666666666666665,3.5568933044900626
